placekey,location_name,latitude,longitude,street_address,city,region,zip,brands,safegraph_brand_ids,naics_code,wkt_area_sq_meters,date_range_start,poi_cbg,tract
222-222@63v-4cy-hyv,Faith Bible Church Of Livonia,42.396528,-83.384871,34541 5 Mile Rd,Livonia,MI,48154,,,813110,701,2020-01-01,261635579003,26163557900
zzw-222@5q3-35n-f4v,Newton Foursquare Church,41.693485,-93.033438,1510 S 8th Ave E,Newton,IA,50208,,,813110,613,2020-01-01,190990404003,19099040400
zzy-222@62m-jf7-td9,First Congregational Church,43.584156,-71.209341,S Main,Wolfeboro,NH,3894,,,813110,837,2020-01-01,330039561004,33003956100
zzw-222@8tf-jpy-9s5,Apollo Heights Baptist Church,31.916367,-106.433712,10450 Kenworthy St,El Paso,TX,79924,,,813110,1393,2020-01-01,481410001062,48141000106
222-222@8dj-f8j-xdv,India Cultural Center,28.04528,-82.535986,5511 Lynn Rd,Tampa,FL,33624,,,813110,3455,2020-01-01,120570114152,12057011415
222-222@8ts-zbw-s89,Morning Star Apostolic Church,33.36433,-111.720386,3263 E Guadalupe Rd,Gilbert,AZ,85234,,,813110,1025,2020-01-01,040134226062,04013422606
222-222@5qv-wzr-fj9,Trinity Presbyterian Church,33.061546,-97.061164,5500 Morriss Rd,Flower Mound,TX,75028,,,813110,1105,2020-01-01,481210217202,48121021720
zzw-222@8gf-dsf-vxq,Young Life of Charlotte,35.203429,-80.817959,101 Colville Rd,Charlotte,NC,28207,,,813110,1916,2020-01-01,371190028001,37119002800
233-222@627-wdc-4vz,CityMD,40.577594,-73.960258,704 Brighton Beach Ave,Brooklyn,NY,11235,CityMD,SG_BRAND_06e704a47267ae1b,621111,6229,2020-01-01,360470360021,36047036002
224-226@5pb-5cd-td9,Lines Joyce R MD,42.031628,-93.611086,1015 Duff Ave,Ames,IA,50010,,,621111,1765,2020-01-01,191690009002,19169000900
222-222@8gp-47j-py9,Ascension Health,30.232502,-81.513136,11512 Lake Mead Ave Unit 521,Jacksonville,FL,32256,Ascension Health,SG_BRAND_6c6c46d79d7e982d,621111,338,2020-01-01,120310144121,12031014412
22h-222@5pn-k8d-33q,Taco Bell,36.162753,-86.775991,131 2nd Ave N,Nashville,TN,37201,Taco Bell,SG_BRAND_748ba381dd81bb8de615319837ffa350,722513,15923,2020-01-01,470370195004,47037019500
23r-222@627-s86-zpv,McDonald's,40.693276,-73.853747,9101 Jamaica Ave,Woodhaven,NY,11421,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,722513,205,2020-01-01,360810014003,36081001400
226-222@5z5-3mp-vmk,Xris Burgers,34.002729,-118.166254,5243 E Washington Blvd,Commerce,CA,90040,,,722513,134,2020-01-01,060375323031,06037532303
zzw-222@627-y6x-qcq,Iglesia Monte De Los Olivos Inc,40.684351,-73.381244,275 W Hoffman Ave,Lindenhurst,NY,11757,,,813110,1749,2020-01-01,361031241011,36103124101
224-222@5qw-rqg-6rk,Journey Christian Community,31.62885,-97.2456,10424 China Spring Rd,Waco,TX,76708,,,813110,1657,2020-01-01,483090041032,48309004103
zzw-222@5xq-4bt-cwk,Church of the Nazarene,34.183144,-119.177199,1630 Saviers Rd,Oxnard,CA,93033,,,813110,637,2020-01-01,061110039001,06111003900
225-222@628-thh-9j9,Christian Science Reading Room,40.220165,-74.76643,9 W State St,Trenton,NJ,8608,,,813110,10322,2020-01-01,340210009002,34021000900
222-224@5qf-knx-gkz,Subway,39.084266,-108.552015,1840 N 12th St Units D & E,Grand Junction,CO,81501,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,722513,271,2020-01-01,080770006025,08077000602
222-222@5pt-2y5-y5f,KFC,35.697189,-89.983427,1001 W Keiser Ave,Osceola,AR,72370,KFC,SG_BRAND_75e52dcc790fbad91ae83227c0fb6e2f,722513,688,2020-01-01,050930111002,05093011100
zzw-222@5pv-f3s-975,Popeyes Louisiana Kitchen,40.484166,-89.020311,1803 W Market St,Bloomington,IL,61701,Popeyes Louisiana Kitchen,SG_BRAND_5725c57624e4d885d0bf718123615aa9,722513,161,2020-01-01,171130003023,17113000302
222-222@8sy-t56-zmk,Pizza Hut,31.054146,-98.17833,1602 S Key Ave,Lampasas,TX,76550,Pizza Hut,SG_BRAND_1f2a4b730dc533366115ba7f5168b074,722513,241,2020-01-01,482819505003,48281950500
223-222@5pw-2qw-kxq,St Stephen Lutheran Church,41.625153,-87.725417,14700 Kildare Ave,Midlothian,IL,60445,,,813110,1042,2020-01-01,170318247011,17031824701
222-222@8f6-sjq-r49,Cathedral AME Zion Church,32.356252,-90.183435,428 W Northside Dr,Jackson,MS,39206,,,813110,1475,2020-01-01,280490005002,28049000500
zzw-222@8dk-mmc-yd9,Edgewater United Methodist Church,27.006264,-82.135859,19190 Cochran Blvd,Port Charlotte,FL,33948,,,813110,3622,2020-01-01,120150203031,12015020303
224-225@5v7-hzz-hyv,Faith & Reason Ministries Inc,43.224449,-123.351403,1224 NE Walnut St,Roseburg,OR,97470,,,813110,492,2020-01-01,410191200003,41019120000
zzw-222@63r-7x9-wzf,Belle View Baptist Church,38.756214,-77.057017,7415 Fort Hunt Rd,Fort Hunt,VA,22307,,,813110,357,2020-01-01,510594156001,51059415600
226-22d@63m-fcz-f75,Richards Alan K MD,37.730783,-84.292388,793 Eastern Byp,Richmond,KY,40475,,,621111,8361,2020-01-01,211510109021,21151010902
223-222@5q6-7cf-tn5,Burger King,39.884687,-104.978654,666 E 104th Ave,Thornton,CO,80233,Burger King,SG_BRAND_60d8d6d29e2c4b14f4ea1983baefd36e,722513,232,2020-01-01,080010092031,08001009203
223-223@5z5-qx6-sdv,Einstein Brothers,33.182436,-117.341056,2183 Vista Way,Oceanside,CA,92054,Einstein Brothers,SG_BRAND_865a3b4c9e4f9d136714c4c6a5eded67,722513,184,2020-01-01,060730185044,06073018504
